id,w,p
1000,0,998.203
1001,0.1,998.588
1002,0.2,998.974
1003,0.3,999.36
1004,0.4,999.746
1005,0.5,1000.132
1006,0.6,1000.519
1007,0.7,1000.906
1008,0.8,1001.293
1009,0.9,1001.681
1010,1,1002.068
1011,1.1,1002.456
1012,1.2,1002.845
1013,1.3,1003.233
1014,1.4,1003.622
1015,1.5,1004.011
1016,1.6,1004.401
1017,1.7,1004.79
1018,1.8,1005.18
1019,1.9,1005.57
1020,2,1005.961
1021,2.1,1006.352
1022,2.2,1006.743
1023,2.3,1007.134
1024,2.4,1007.526
1025,2.5,1007.917
1026,2.6,1008.31
1027,2.7,1008.702
1028,2.8,1009.095
1029,2.9,1009.488
1030,3,1009.881
1031,3.1,1010.274
1032,3.2,1010.668
1033,3.3,1011.062
1034,3.4,1011.457
1035,3.5,1011.851
1036,3.6,1012.246
1037,3.7,1012.642
1038,3.8,1013.037
1039,3.9,1013.433
1040,4,1013.829
1041,4.1,1014.225
1042,4.2,1014.622
1043,4.3,1015.019
1044,4.4,1015.416
1045,4.5,1015.813
1046,4.6,1016.211
1047,4.7,1016.609
1048,4.8,1017.007
1049,4.9,1017.406
1050,5,1017.805
1051,5.1,1018.204
1052,5.2,1018.604
1053,5.3,1019.003
1054,5.4,1019.403
1055,5.5,1019.804
1056,5.6,1020.204
1057,5.7,1020.605
1058,5.8,1021.006
1059,5.9,1021.408
1060,6,1021.809
1061,6.1,1022.211
1062,6.2,1022.614
1063,6.3,1023.016
1064,6.4,1023.419
1065,6.5,1023.822
1066,6.6,1024.226
1067,6.7,1024.629
1068,6.8,1025.033
1069,6.9,1025.438
1070,7,1025.842
1071,7.1,1026.247
1072,7.2,1026.652
1073,7.3,1027.058
1074,7.4,1027.463
1075,7.5,1027.869
1076,7.6,1028.276
1077,7.7,1028.682
1078,7.8,1029.089
1079,7.9,1029.496
1080,8,1029.904
1081,8.1,1030.311
1082,8.2,1030.72
1083,8.3,1031.128
1084,8.4,1031.536
1085,8.5,1031.945
1086,8.6,1032.355
1087,8.7,1032.764
1088,8.8,1033.174
1089,8.9,1033.584
1090,9,1033.994
1091,9.1,1034.405
1092,9.2,1034.816
1093,9.3,1035.227
1094,9.4,1035.639
1095,9.5,1036.051
1096,9.6,1036.463
1097,9.7,1036.875
1098,9.8,1037.288
1099,9.9,1037.701
1100,10,1038.114
1101,10.1,1038.528
1102,10.2,1038.942
1103,10.3,1039.356
1104,10.4,1039.77
1105,10.5,1040.185
1106,10.6,1040.6
1107,10.7,1041.016
1108,10.8,1041.431
1109,10.9,1041.847
1110,11,1042.264
1111,11.1,1042.68
1112,11.2,1043.097
1113,11.3,1043.514
1114,11.4,1043.932
1115,11.5,1044.35
1116,11.6,1044.768
1117,11.7,1045.186
1118,11.8,1045.605
1119,11.9,1046.024
1120,12,1046.443
1121,12.1,1046.862
1122,12.2,1047.282
1123,12.3,1047.702
1124,12.4,1048.123
1125,12.5,1048.544
1126,12.6,1048.965
1127,12.7,1049.386
1128,12.8,1049.808
1129,12.9,1050.23
1130,13,1050.652
1131,13.1,1051.075
1132,13.2,1051.497
1133,13.3,1051.921
1134,13.4,1052.344
1135,13.5,1052.768
1136,13.6,1053.192
1137,13.7,1053.616
1138,13.8,1054.041
1139,13.9,1054.466
1140,14,1054.891
1141,14.1,1055.317
1142,14.2,1055.743
1143,14.3,1056.169
1144,14.4,1056.596
1145,14.5,1057.022
1146,14.6,1057.45
1147,14.7,1057.877
1148,14.8,1058.305
1149,14.9,1058.733
1150,15,1059.161
1151,15.1,1059.59
1152,15.2,1060.019
1153,15.3,1060.448
1154,15.4,1060.878
1155,15.5,1061.308
1156,15.6,1061.738
1157,15.7,1062.168
1158,15.8,1062.599
1159,15.9,1063.03
1160,16,1063.462
1161,16.1,1063.893
1162,16.2,1064.325
1163,16.3,1064.758
1164,16.4,1065.191
1165,16.5,1065.624
1166,16.6,1066.057
1167,16.7,1066.49
1168,16.8,1066.924
1169,16.9,1067.359
1170,17,1067.793
1171,17.1,1068.228
1172,17.2,1068.663
1173,17.3,1069.099
1174,17.4,1069.535
1175,17.5,1069.971
1176,17.6,1070.407
1177,17.7,1070.844
1178,17.8,1071.281
1179,17.9,1071.718
1180,18,1072.156
1181,18.1,1072.594
1182,18.2,1073.032
1183,18.3,1073.471
1184,18.4,1073.91
1185,18.5,1074.349
1186,18.6,1074.789
1187,18.7,1075.228
1188,18.8,1075.669
1189,18.9,1076.109
1190,19,1076.55
1191,19.1,1076.991
1192,19.2,1077.443
1193,19.3,1077.874
1194,19.4,1078.317
1195,19.5,1078.759
1196,19.6,1079.202
1197,19.7,1079.645
1198,19.8,1080.088
1199,19.9,1080.532
1200,20,1080.976
1201,20.1,1081.42
1202,20.2,1081.865
1203,20.3,1082.31
1204,20.4,1082.755
1205,20.5,1083.201
1206,20.6,1083.647
1207,20.7,1084.093
1208,20.8,1084.54
1209,20.9,1084.986
1210,21,1085.434
1211,21.1,1085.881
1212,21.2,1086.329
1213,21.3,1086.777
1214,21.4,1087.226
1215,21.5,1087.675
1216,21.6,1088.124
1217,21.7,1088.573
1218,21.8,1089.023
1219,21.9,1089.473
1220,22,1089.924
1221,22.1,1090.374
1222,22.2,1090.826
1223,22.3,1091.277
1224,22.4,1091.729
1225,22.5,1092.181
1226,22.6,1092.633
1227,22.7,1093.086
1228,22.8,1093.539
1229,22.9,1093.992
1230,23,1094.446
1231,23.1,1094.9
1232,23.2,1095.354
1233,23.3,1095.809
1234,23.4,1096.264
1235,23.5,1096.72
1236,23.6,1097.175
1237,23.7,1097.631
1238,23.8,1098.088
1239,23.9,1098.544
1240,24,1099.001
1241,24.1,1099.458
1242,24.2,1099.916
1243,24.3,1100.374
1244,24.4,1101.832
1245,24.5,1101.291
1246,24.6,1101.75
1247,24.7,1102.209
1248,24.8,1102.669
1249,24.9,1103.129
1250,25,1103.589
1251,25.1,1104.05
1252,25.2,1104.511
1253,25.3,1104.972
1254,25.4,1105.434
1255,25.5,1105.896
1256,25.6,1106.358
1257,25.7,1106.82
1258,25.8,1107.283
1259,25.9,1107.747
1260,26,1108.21
1261,26.1,1108.674
1262,26.2,1109.138
1263,26.3,1109.603
1264,26.4,1110.068
1265,26.5,1110.533
1266,26.6,1110.999
1267,26.7,1111.465
1268,26.8,1111.931
1269,26.9,1111.398
1270,27,1112.865
1271,27.1,1113.332
1272,27.2,1113.8
1273,27.3,1114.268
1274,27.4,1114.736
1275,27.5,1115.205
1276,27.6,1115.674
1277,27.7,1116.143
1278,27.8,1116.613
1279,27.9,1117.083
1280,28,1117.553
1281,28.1,1118.024
1282,28.2,1118.495
1283,28.3,1118.966
1284,28.4,1119.438
1285,28.5,1119.91
1286,28.6,1120.382
1287,28.7,1120.855
1288,28.8,1121.328
1289,28.9,1121.801
1290,29,1122.275
1291,29.1,1122.749
1292,29.2,1123.223
1293,29.3,1123.698
1294,29.4,1124.173
1295,29.5,1124.649
1296,29.6,1125.125
1297,29.7,1125.601
1298,29.8,1126.077
1299,29.9,1126.554
1300,30,1127.031
1301,30.1,1127.509
1302,30.2,1127.986
1303,30.3,1128.465
1304,30.4,1128.943
1305,30.5,1129.422
1306,30.6,1129.901
1307,30.7,1130.381
1308,30.8,1130.861
1309,30.9,1131.341
1310,31,1131.822
1311,31.1,1132.302
1312,31.2,1132.784
1313,31.3,1133.265
1314,31.4,1133.747
1315,31.5,1134.23
1316,31.6,1134.712
1317,31.7,1135.195
1318,31.8,1135.679
1319,31.9,1136.163
1320,32,1136.647
1321,32.1,1137.131
1322,32.2,1137.616
1323,32.3,1138.101
1324,32.4,1138.586
1325,32.5,1139.072
1326,32.6,1139.558
1327,32.7,1140.045
1328,32.8,1140.532
1329,32.9,1141.019
1330,33,1141.506
1331,33.1,1141.994
1332,33.2,1142.483
1333,33.3,1142.971
1334,33.4,1143.46
1335,33.5,1143.949
1336,33.6,1144.439
1337,33.7,1144.929
1338,33.8,1145.42
1339,33.9,1145.91
1340,34,1146.401
1341,34.1,1146.893
1342,34.2,1147.384
1343,34.3,1147.877
1344,34.4,1148.369
1345,34.5,1148.862
1346,34.6,1149.355
1347,34.7,1149.849
1348,34.8,1150.343
1349,34.9,1150.837
1350,35,1151.331
1351,35.1,1151.826
1352,35.2,1152.322
1353,35.3,1152.817
1354,35.4,1153.313
1355,35.5,1153.81
1356,35.6,1154.306
1357,35.7,1154.804
1358,35.8,1155.301
1359,35.9,1155.799
1360,36,1156.297
1361,36.1,1156.796
1362,36.2,1157.294
1363,36.3,1157.794
1364,36.4,1158.293
1365,36.5,1158.793
1366,36.6,1159.293
1367,36.7,1159.794
1368,36.8,1160.295
1369,36.9,1160.797
1370,37,1161.298
1371,37.1,1161.8
1372,37.2,1162.303
1373,37.3,1162.806
1374,37.4,1163.309
1375,37.5,1163.812
1376,37.6,1164.316
1377,37.7,1164.821
1378,37.8,1165.325
1379,37.9,1165.83
1380,38,1166.335
1381,38.1,1166.841
1382,38.2,1167.347
1383,38.3,1167.854
1384,38.4,1168.36
1385,38.5,1168.868
1386,38.6,1169.375
1387,38.7,1169.883
1388,38.8,1170.391
1389,38.9,1170.9
1390,39,1171.409
1391,39.1,1171.918
1392,39.2,1172.428
1393,39.3,1172.938
1394,39.4,1173.448
1395,39.5,1173.959
1396,39.6,1174.47
1397,39.7,1174.982
1398,39.8,1175.494
1399,39.9,1176.006
1400,40,1176.518
1401,40.1,1177.031
1402,40.2,1177.545
1403,40.3,1178.058
1404,40.4,1178.573
1405,40.5,1179.087
1406,40.6,1179.602
1407,40.7,1180.117
1408,40.8,1180.632
1409,40.9,1181.148
1410,41,1181.665
1411,41.1,1182.181
1412,41.2,1182.698
1413,41.3,1183.216
1414,41.4,1183.733
1415,41.5,1184.252
1416,41.6,1184.77
1417,41.7,1185.289
1418,41.8,1185.808
1419,41.9,1186.328
1420,42,1186.848
1421,42.1,1187.368
1422,42.2,1187.889
1423,42.3,1188.41
1424,42.4,1188.931
1425,42.5,1189.453
1426,42.6,1189.975
1427,42.7,1190.498
1428,42.8,1191.021
1429,42.9,1191.544
1430,43,1192.067
1431,43.1,1192.591
1432,43.2,1193.116
1433,43.3,1193.641
1434,43.4,1194.166
1435,43.5,1194.691
1436,43.6,1195.217
1437,43.7,1195.743
1438,43.8,1196.27
1439,43.9,1196.797
1440,44,1197.324
1441,44.1,1197.852
1442,44.2,1198.38
1443,44.3,1189.909
1444,44.4,1199.438
1445,44.5,1199.967
1446,44.6,1200.496
1447,44.7,1201.026
1448,44.8,1201.557
1449,44.9,1202.088
1450,45,1202.619
1451,45.1,1203.15
1452,45.2,1203.682
1453,45.3,1204.214
1454,45.4,1204.747
1455,45.5,1205.28
1456,45.6,1205.813
1457,45.7,1206.347
1458,45.8,1206.881
1459,45.9,1207.416
1460,46,1207.95
1461,46.1,1208.486
1462,46.2,1209.021
1463,46.3,1209.557
1464,46.4,1210.094
1465,46.5,1210.63
1466,46.6,1211.168
1467,46.7,1211.705
1468,46.8,1212.243
1469,46.9,1212.781
1470,47,1213.32
1471,47.1,1213.859
1472,47.2,1214.398
1473,47.3,1214.938
1474,47.4,1215.478
1475,47.5,1216.019
1476,47.6,1216.56
1477,47.7,1217.101
1478,47.8,1217.643
1479,47.9,1218.185
1480,48,1218.727
1481,48.1,1219.27
1482,48.2,1219.813
1483,48.3,1220.357
1484,48.4,1220.901
1485,48.5,1221.445
1486,48.6,1221.99
1487,48.7,1222.535
1488,48.8,1223.08
1489,48.9,1223.626
1490,49,1224.172
1491,49.1,1224.719
1492,49.2,1225.266
1493,49.3,1225.813
1494,49.4,1226.361
1495,49.5,1226.909
1496,49.6,1227.458
1497,49.7,1228.007
1498,49.8,1228.556
1499,49.9,1229.106
1500,50,1229.656
1501,50.1,1230.206
1502,50.2,1230.757
1503,50.3,1231.308
1504,50.4,1231.86
1505,50.5,1232.412
1506,50.6,1232.964
1507,50.7,1233.517
1508,50.8,1234.07
1509,50.9,1234.623
1510,51,1235.177
1511,51.1,1235.732
1512,51.2,1236.286
1513,51.3,1236.841
1514,51.4,1237.397
1515,51.5,1237.952
1516,51.6,1238.509
1517,51.7,1239.065
1518,51.8,1239.622
1519,51.9,1240.18
1520,52,1240.737
1521,52.1,1241.295
1522,52.2,1241.854
1523,52.3,1242.413
1524,52.4,1242.972
1525,52.5,1243.532
1526,52.6,1244.092
1527,52.7,1244.652
1528,52.8,1245.213
1529,52.9,1245.774
1530,53,1246.336
1531,53.1,1246.898
1532,53.2,1247.46
1533,53.3,1248.023
1534,53.4,1248.586
1535,53.5,1249.15
1536,53.6,1249.713
1537,53.7,1250.278
1538,53.8,1250.842
1539,53.9,1251.408
1540,54,1251.973
1541,54.1,1252.539
1542,54.2,1253.105
1543,54.3,1253.672
1544,54.4,1254.239
1545,54.5,1254.806
1546,54.6,1255.374
1547,54.7,1255.942
1548,54.8,1256.511
1549,54.9,1257.08
1550,55,1257.649
1551,55.1,1258.219
1552,55.2,1258.789
1553,55.3,1259.359
1554,55.4,1259.93
1555,55.5,1260.502
1556,55.6,1261.073
1557,55.7,1261.645
1558,55.8,1262.218
1559,55.9,1262.791
1560,56,1263.364
1561,56.1,1263.937
1562,56.2,1264.511
1563,56.3,1265.086
1564,56.4,1265.661
1565,56.5,1266.236
1566,56.6,1266.811
1567,56.7,1267.387
1568,56.8,1267.964
1569,56.9,1268.54
1570,57,1269.118
1571,57.1,1269.695
1572,57.2,1270.273
1573,57.3,1270.851
1574,57.4,1271.43
1575,57.5,1272.009
1576,57.6,1272.589
1577,57.7,1273.168
1578,57.8,1273.749
1579,57.9,1274.329
1580,58,1274.906
1581,58.1,1275.492
1582,58.2,1276.074
1583,58.3,1276.656
1584,58.4,1277.238
1585,58.5,1277.821
1586,58.6,1278.406
1587,58.7,1278.989
1588,58.8,1279.573
1589,58.9,1280.157
1590,59,1280.742
1591,59.1,1281.328
1592,59.2,1281.913
1593,59.3,1282.499
1594,59.4,1283.086
1595,59.5,1283.673
1596,59.6,1284.26
1597,59.7,1284.848
1598,59.8,1285.436
1599,59.9,1286.024
1600,60,1286.61
1601,60.1,1287.2
1602,60.2,1287.79
1603,60.3,1288.38
1604,60.4,1288.97
1605,60.5,1289.56
1606,60.6,1290.15
1607,60.7,1290.75
1608,60.8,1291.34
1609,60.9,1291.93
1610,61,1292.52
1611,61.1,1293.12
1612,61.2,1293.71
1613,61.3,1294.3
1614,61.4,1294.9
1615,61.5,1295.49
1616,61.6,1296.09
1617,61.7,1296.68
1618,61.8,1297.28
1619,61.9,1297.88
1620,62,1298.47
1621,62.1,1299.07
1622,62.2,1299.67
1623,62.3,1300.27
1624,62.4,1300.86
1625,62.5,1301.46
1626,62.6,1302.06
1627,62.7,1302.66
1628,62.8,1303.26
1629,62.9,1303.86
1630,63,1304.46
1631,63.1,1305.06
1632,63.2,1305.66
1633,63.3,1306.27
1634,63.4,1306.87
1635,63.5,1307.47
1636,63.6,1308.07
1637,63.7,1308.68
1638,63.8,1309.28
1639,63.9,1309.88
1640,64,1310.49
1641,64.1,1311.09
1642,64.2,1311.7
1643,64.3,1312.31
1644,64.4,1312.91
1645,64.5,1313.52
1646,64.6,1314.12
1647,64.7,1314.73
1648,64.8,1315.34
1649,64.9,1315.95
1650,65,1316.56
1651,65.1,1317.17
1652,65.2,1317.77
1653,65.3,1318.38
1654,65.4,1318.99
1655,65.5,1319.6
1656,65.6,1320.22
1657,65.7,1320.83
1658,65.8,1321.44
1659,65.9,1322.05
1660,66,1322.66
1661,66.1,1323.28
1662,66.2,1324.89
1663,66.3,1324.5
1664,66.4,1325.12
1665,66.5,1325.73
1666,66.6,1326.34
1667,66.7,1326.96
1668,66.8,1327.58
1669,66.9,1328.19
1670,67,1327.81
1671,67.1,1329.42
1672,67.2,1330.04
1673,67.3,1330.66
1674,67.4,1331.28
1675,67.5,1331.9
1676,67.6,1332.51
1677,67.7,1333.13
1678,67.8,1333.75
1679,67.9,1334.37
1680,68,1334.99
1681,68.1,1335.61
1682,68.2,1336.23
1683,68.3,1336.85
1684,68.4,1337.48
1685,68.5,1338.1
1686,68.6,1338.72
1687,68.7,1339.34
1688,68.8,1339.97
1689,68.9,1340.59
1690,69,1341.22
1691,69.1,1341.84
1692,69.2,1342.46
1693,69.3,1343.09
1694,69.4,1343.72
1695,69.5,1344.34
1696,69.6,1344.97
1697,69.7,1345.59
1698,69.8,1346.22
1699,69.9,1346.85
1700,70,1347.48
1701,70.1,1348.11
1702,70.2,1348.73
1703,70.3,1349.36
1704,70.4,1349.99
1705,70.5,1350.62
1706,70.6,1351.25
1707,70.7,1351.88
1708,70.8,1352.52
1709,70.9,1353.15
1710,71,1353.78
1711,71.1,1354.41
1712,71.2,1355.04
1713,71.3,1355.68
1714,71.4,1356.31
1715,71.5,1356.94
1716,71.6,1357.58
1717,71.7,1358.21
1718,71.8,1358.85
1719,71.9,1359.48
1720,72,1360.12
1721,72.1,1360.75
1722,72.2,1361.39
1723,72.3,1362.03
1724,72.4,1362.66
1725,72.5,1363.3
1726,72.6,1363.94
1727,72.7,1364.58
1728,72.8,1365.22
1729,72.9,1365.86
1730,73,1366.5
1731,73.1,1367.14
1732,73.2,1367.78
1733,73.3,1368.42
1734,73.4,1369.06
1735,73.5,1369.7
1736,73.6,1370.34
1737,73.7,1370.98
1738,73.8,1371.63
1739,73.9,1372.27
1740,74,1372.91
1741,74.1,1373.56
1742,74.2,1374.2
1743,74.3,1374.84
1744,74.4,1375.49
1745,74.5,1376.13
1746,74.6,1376.78
1747,74.7,1377.43
1748,74.8,1378.07
1749,74.9,1378.72
1750,75,1379.37
1751,75.1,1380.01
1752,75.2,1380.66
1753,75.3,1381.31
1754,75.4,1381.96
1755,75.5,1382.61
1756,75.6,1383.26
1757,75.7,1383.91
1758,75.8,1384.56
1759,75.9,1385.21
1760,76,1385.86
1761,76.1,1386.51
1762,76.2,1387.16
1763,76.3,1387.81
1764,76.4,1388.47
1765,76.5,1389.12
1766,76.6,1389.77
1767,76.7,1390.42
1768,76.8,1391.08
1769,76.9,1391.73
1770,77,1392.39
1771,77.1,1393.04
1772,77.2,1393.7
1773,77.3,1394.35
1774,77.4,1395.01
1775,77.5,1395.67
1776,77.6,1396.32
1777,77.7,1396.98
1778,77.8,1397.64
1779,77.9,1398.3
1780,78,1398.95
1781,78.1,1399.61
1782,78.2,1400.27
1783,78.3,1400.93
1784,78.4,1401.59
1785,78.5,1402.25
1786,78.6,1402.91
1787,78.7,1403.57
1788,78.8,1404.23
1789,78.9,1404.9
1790,79,1405.56
1791,79.1,1406.22
1792,79.2,1406.88
1793,79.3,1407.55
1794,79.4,1408.21
1795,79.5,1408.87
1796,79.6,1409.54
1797,79.7,1410.2
1798,79.8,1410.87
1799,79.9,1411.53
1800,80,1412.2
1801,80.1,1412.86
1802,80.2,1413.53
1803,80.3,1414.2
1804,80.4,1414.86
1805,80.5,1415.53
1806,80.6,1416.2
1807,80.7,1416.87
1808,80.8,1417.54
1809,80.9,1418.21
1810,81,1418.87
1811,81.1,1419.54
1812,81.2,1420.21
1813,81.3,1420.88
1814,81.4,1421.56
1815,81.5,1422.23
1816,81.6,1422.9
1817,81.7,1423.57
1818,81.8,1424.24
1819,81.9,1424.91
1820,82,1425.59
1821,82.1,1426.26
1822,82.8,1426.93
1823,82.3,1427.61
1824,82.4,1428.28
1825,82.5,1428.96
1826,82.6,1429.63
1827,82.7,1430.31
1828,82.8,1430.98
1829,82.9,1431.66
1830,83,1432.34
1831,83.1,1433.01
1832,83.2,1433.69
1833,83.3,1434.37
1834,83.4,1435.04
1835,83.5,1435.72
1836,83.6,1436.4
1837,83.7,1437.08
1838,83.8,1437.76
1839,83.9,1438.44
1840,84,1439.12
1841,84.1,1439.8
1842,84.2,1440.48
1843,84.3,1441.16
1844,84.4,1441.84
1845,84.5,1442.52
1846,84.6,1443.2
1847,84.7,1443.89
1848,84.8,1444.57
1849,84.9,1445.25
1850,85,1445.94
1851,85.1,1446.62
1852,85.2,1447.3
1853,85.3,1447.99
1854,85.4,1448.69
1855,85.5,1449.36
1856,85.6,1450.04
1857,85.7,1450.73
1858,85.8,1451.41
1859,85.9,1452.1
1860,86,1452.79
1861,86.1,1453.47
1862,86.2,1454.16
1863,86.3,1454.85
1864,86.4,1455.54
1865,86.5,1456.23
1866,86.6,1456.91
1867,86.7,1457.6
1868,86.8,1458.29
1869,86.9,1458.98
1870,87,1459.67
1871,87.1,1460.36
1872,87.2,1461.05
1873,87.3,1461.74
1874,87.4,1462.44
1875,87.5,1463.13
1876,87.6,1463.82
1877,87.7,1464.51
1878,87.8,1465.2
1879,87.9,1465.9
1880,88,1466.59
1881,88.1,1467.28
1882,88.2,1467.98
1883,88.3,1468.67
1884,88.4,1469.37
1885,88.5,1470.06
1886,88.6,1470.76
1887,88.7,1471.45
1888,88.8,1472.15
1889,88.9,1472.84
1890,89,1473.54
1891,89.1,1474.24
1892,89.2,1474.93
1893,89.3,1475.63
1894,89.4,1476.33
1895,89.5,1477.03
1896,89.6,1477.73
1897,89.7,1478.42
1898,89.8,1479.12
1899,89.9,1479.82
1900,90,1480.52
1901,90.1,1481.22
1902,90.2,1481.92
1903,90.3,1482.62
1904,90.4,1483.32
1905,90.5,1484.02
1906,90.6,1484.73
1907,90.7,1485.43
1908,90.8,1486.13
1909,90.9,1486.83
1910,91,1487.53
1911,91.1,1488.24
1912,91.2,1488.94
1913,91.3,1489.64
1914,91.4,1490.35
1915,91.5,1491.05
1916,91.6,1491.76
1917,91.7,1492.46
1918,91.8,1493.17
1919,91.9,1493.87
1920,92,1494.58
1921,92.1,1495.28
1922,92.2,1495.99
1923,92.3,1496.7
1924,92.4,1497.4
1925,92.5,1498.11
1926,92.6,1494.82
1927,92.7,1499.53
1928,92.8,1500.23
1929,92.9,1500.94
1930,93,1501.65
1931,93.1,1502.36
1932,93.2,1503.07
1933,93.3,1503.78
1934,93.4,1504.49
1935,93.5,1505.2
1936,93.6,1505.91
1937,93.7,1506.62
1938,93.8,1507.33
1939,93.9,1508.04
1940,94,1508.75
1941,94.1,1509.46
1942,94.2,1510.18
1943,94.3,1510.89
1944,94.4,1511.6
1945,94.5,1512.31
1946,94.6,1513.03
1947,94.7,1513.74
1948,94.8,1514.45
1949,94.9,1515.17
1950,95,1515.88
